origin_year,model,training_max_year,eval_observations,MAE,RMSE,R2
2011,median,2010,512,0.8599374999999999,1.115629357484487,-0.3297736147131518
2011,ridge_trend,2010,512,0.4123055801618123,0.5695186424986655,0.6534597113686402
2011,tree,2010,512,0.6544936774235449,0.8114036538129087,0.29658477949226825
2011,forest,2010,512,0.5168222306420781,0.69381765853883,0.48568576910059047
2012,median,2011,512,0.862369140625,1.0913452877569843,-0.43366006155323333
2012,ridge_trend,2011,512,0.4547274883995106,0.6379483680764952,0.5101164081595023
2012,tree,2011,512,0.6987231537379197,0.8890066135166376,0.048668635178200303
2012,forest,2011,512,0.5378100873163547,0.7320867076113713,0.35487053952973746
2013,median,2012,510,0.9028274509803923,1.2007752838699426,-0.33363624315932605
2013,ridge_trend,2012,510,0.4148115536380027,0.5746465839602609,0.6945672741517264
2013,tree,2012,510,0.6983978780475985,0.8545310292640613,0.32458673820254047
2013,forest,2012,510,0.5056069119350786,0.6672826294581795,0.5881552364415973
